ORGANIZACION,Comentario,Comentario Sin tratar,Etiqueta,Analyzer
proyecto interno caso de estudio de aplicacion de la kata de la mejora en el contexto de la serie kitchen nightmares,aprendi proyecto interno profesor brindaba asesoria util gusto poder aplicar conocimiento caso restaurante herramientas aplico negocio espero usar futuro,aprendi mucho en proyecto interno el profesor me brindaba asesoria y me fue muy util me gusto poder aplicar el conocimiento en un caso de un restaurante tengo herramientas que aplico en mi negocio y que espero usar en un futuro ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.825, NEU: 0.167, NEG: 0.007})"
allumer velas,deberian decirte prinicpio vas hacer darle seguimiento tareas pendiente trabajo hacer responder mensajes envies,deberian decirte desde un prinicpio que vas a hacer y darle seguimiento a tus tareas estar al pendiente que tengas trabajo que hacer y responder mensajes que envies ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.794, NEG: 0.177, POS: 0.029})"
proyecto interno caso de estudio de aplicacion de la kata de la mejora en el contexto de la serie kitchen nightmares,agrado trabajar proyecto interno,me agrado trabajar en proyecto interno,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.505, POS: 0.472, NEG: 0.023})"
a mentors,ser empresa pequena siento hace falta mas personal ocasiones saturacion actividades,al ser una empresa pequena siento que hace falta mas personal porque en ocasiones hay una saturacion en actividades,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.879, NEU: 0.116, POS: 0.005})"
add valant,gusto organizacion trabaje debido ambiente trabajo bueno gustaron actividades realizamos,me gusto mucho la organizacion en la cual trabaje debido a que el ambiente de trabajo es muy bueno y me gustaron las actividades que realizamos ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.809, NEU: 0.184, NEG: 0.007})"
willy budib eventos,buena organizacion excelente trato,muy buena organizacion excelente trato ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.958, NEU: 0.038, NEG: 0.004})"
son de  restaurante,nan,nan,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.475, NEG: 0.352, POS: 0.173})"
hotel papaya playa project,recomiendo ampliamente organizacion,recomiendo ampliamente la organizacion ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.859, NEU: 0.133, NEG: 0.008})"
hotel rotamundos,ninguna,ninguna,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.327, POS: 0.175})"
blackshiip,realizacion practicas modalidad distancia agrado mas dificil sentirme parte empresa cosas,la realizacion de practicas en modalidad a distancia no me agrado ya que es mas dificil sentirme parte de la empresa entre otras cosas,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.897, NEU: 0.099, POS: 0.004})"
proyecto interno  desarrollo de la metodologia de la kata de la mejora para solucion de problemas operativos en las practicas en la profesion,aprendi organizacion senti parte,aprendi mucho de la organizacion y me senti parte de ella,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.743, POS: 0.190, NEG: 0.067})"
camic,unas practicas linea interaccion convivencia vieron limitadas obstante agusto desempenando actividades designaron,fueron unas practicas en linea por lo que la interaccion y la convivencia se vieron limitadas no obstante estuve agusto desempenando las actividades que se me designaron,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.867, NEG: 0.113, POS: 0.020})"
pixolab,gusto ambiente trabajo supe llevar buena relacion companeros trabajo jefe actividades siempre relacionadas area desempeno si necesario usar conocimientos aplicaba general gran experiencia laboral aprendi desempenarme trabajo,me gusto mucho el ambiente de trabajo supe llevar una buena relacion con mis companeros de trabajo y con mi jefe las actividades siempre fueron relacionadas al area donde yo me desempeno pero si era necesario usar otros conocimientos los aplicaba en general fue una gran experiencia laboral y aprendi mucho a como desempenarme en el trabajo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.783, NEU: 0.208, NEG: 0.009})"
fraternity spirits,organizacion brindo pocas actividades largo periodo,la organizacion brindo muy pocas actividades a lo largo del periodo ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.768, POS: 0.204, NEG: 0.028})"
sicorsa industrial sa de cv,excelente organizacion,excelente organizacion ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.929, NEU: 0.065, NEG: 0.006})"
grupo proactivo mexicano,gusto formar parte gpm,me gusto formar parte de gpm,positive,"AnalyzerOutput(output=POS, probas={POS: 0.772, NEU: 0.207, NEG: 0.021})"
volkswagen,encanto estancia volkswagen mexico duda alguna gran extraordinaria empresa aprendes demasiado puedes desempenarte gran manera recomiendo ampliamente,"me encanto mi estancia en volkswagen de mexico sin duda alguna es una gran y extraordinaria empresa en donde aprendes demasiado y puedes desempenarte de gran manera la recomiendo ampliamente 
 ",positive,"AnalyzerOutput(output=POS, probas={POS: 0.977, NEU: 0.020, NEG: 0.003})"
export classic cars,verdad buena empresa atentos amigables,la verdad es muy buena empresa muy atentos y amigables,positive,"AnalyzerOutput(output=POS, probas={POS: 0.950, NEU: 0.046, NEG: 0.004})"
grupo casmo,gusto realizado compania aprendi desarrollarme practicante dentro empresa,me gusto mucho lo realizado con la compania aprendi a desarrollarme como practicante dentro de la empresa,positive,"AnalyzerOutput(output=POS, probas={POS: 0.548, NEU: 0.438, NEG: 0.014})"
slow food mexico,lamentablemente realizar practicas linea mejor experiencia aun asi llevo muchas cosas gran organizacion admiro labor hacia sociedad hacia medio ambiente,lamentablemente el realizar practicas en linea no es la mejor experiencia aun asi me llevo muchas cosas de una gran organizacion a la que admiro mucho por su labor hacia la sociedad y hacia el medio ambiente,positive,"AnalyzerOutput(output=POS, probas={POS: 0.920, NEU: 0.073, NEG: 0.007})"
endeavor mexico,buena organizacion recomiendo realizar practicas aprendes ambiente bueno,muy buena organizacion la recomiendo mucho para realizar practicas aprendes mucho y el ambiente es muy bueno,positive,"AnalyzerOutput(output=POS, probas={POS: 0.940, NEU: 0.056, NEG: 0.004})"
grupo proactivo mexicano,ambiente laboral espectacular aprendes cosas diferentes areas siempre contacto companeros mucha convivencia empresas habian dicho entrar practicas dejaban hacer call center siento va carrera,el ambiente laboral es espectacular aprendes cosas de diferentes areas y siempre estas en contacto con otros companeros pero no hay mucha convivencia con las empresas lo cual fue algo que habian dicho al entrar a practicas y nos dejaban hacer mucho mucho call center lo cual siento que no va nada a la carrera ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.910, NEU: 0.085, NEG: 0.005})"
canasta rosa,empresa canasta rosa opinion gran empresa hacer practicas siempre estan pendiente si duda algun problema desarrollar tarea asignaron experiencia general empresa buena aprendi bastante,la empresa canasta rosa en mi opinion es una gran empresa para hacer tus practicas siempre estan al pendiente de ti por si tienes una duda o algun problema para desarrollar la tarea que te asignaron mi experiencia en general en esta empresa fue muy buena aprendi bastante ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.779, NEU: 0.213, NEG: 0.008})"
faurecia,hecho practicas sido linea comprometio capacidad aprendizaje proceso practicas ademas limito seriamente networking pude haber establecido si permitido modalidad presencial,el hecho de que las practicas hayan sido  en linea comprometio la capacidad de aprendizaje en mi proceso de practicas ademas limito seriamente el networking que pude haber establecido si hubieran permitido modalidad presencial,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.799, NEG: 0.158, POS: 0.042})"
habla logistica y mercadotecnia,ninguna gran organizacion buena forma trabajar,ninguna una gran organizacion con una muy buena forma de trabajar,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.666, NEU: 0.308, POS: 0.026})"
canasta rosa,gusto hacer practicas canasta rosa empresa apasionada demuestra trabajan ahi incluyeron parte equipo siempre mejor disposicion recomiendo empresa si irme intercambio duda gustado hacer practicas,me gusto mucho hacer mis practicas en canasta rosa es una empresa apasionada y se demuestra con todos los que trabajan ahi me incluyeron como parte del equipo y siempre tuvieron la mejor disposicion recomiendo la empresa y si no tuviera que irme de intercambio sin duda me hubiera gustado hacer mis practicas  con ellos,positive,"AnalyzerOutput(output=POS, probas={POS: 0.945, NEU: 0.051, NEG: 0.004})"
slow food mexico,siento slow food buena empresa embargo habia horario laboral tal ende alfonso podia escribir domingo noche pidiendo cualquier dia semana am considero pesar trabajar casa siempre deberia haber horario laboral pueda pedir cualquier cosa relacionada trabajo horario esperar siguiente dia hacerlo ademas platicando companeros universidad estan haciendo practicas servicio pude darme cuenta muchas veces existe bastante confusion hora saber hacer alfonso siempre ocupado viendo cosas organizacion pude observar casi trabajamos ahi practicantes servicio social empleados remunerados alfonso anda muchas cosas vez veces pide cosa despues cambia olvida final dice hiciste mal muchas veces paso da pena decirle pediste dijiste x cosa jefe dependemos calificacion dos cosas parecio ambiente trabajo agradable,siento que slow food es una buena empresa sin embargo no habia horario laboral como tal por ende alfonso me podia escribir un domingo a las  de la noche pidiendo algo o cualquier dia entre semana a las  am considero que a pesar de trabajar desde casa siempre deberia haber un horario laboral donde se te pueda pedir cualquier cosa relacionada a tu trabajo y fuera de ese horario esperar al siguiente dia para hacerlo ademas  platicando con companeros de la universidad que estan haciendo practicas o servicio pude darme cuenta que muchas veces existe bastante confusion a la hora de saber que hacer alfonso esta siempre muy ocupado viendo cosas de la organizacion y por lo que pude observar casi todos los que trabajamos ahi somos practicantes o de servicio social no empleados remunerados como alfonso anda en muchas cosas a la vez a veces te pide una cosa y despues la cambia o se le olvida o al final te dice que lo hiciste mal a mi muchas veces me paso y da pena decirle tu me lo pediste o tu me dijiste x cosa porque  es tu jefe y  dependemos de su calificacion fuera de esas dos cosas me parecio un ambiente de trabajo agradable ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.676, NEG: 0.297, POS: 0.027})"
blackshiip,considero organizacion necesita capacitar mas estudiantes actividades rutinarias suelen respetar horarios gerencia siempre trato respetuoso resolvia dudas flexibles recomendaria involucren actividades necesiten aplicar conocimientos carreras participacion mas activa algun proyecto,"considero que la organizacion necesita capacitar mas a los estudiantes las actividades son rutinarias y no se suelen respetar los horarios 

la gerencia tuvo siempre un trato respetuoso resolvia dudas y eran flexibles

recomendaria que los involucren en actividades que necesiten aplicar conocimientos de nuestras carreras o una participacion mas activa en algun proyecto",neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.579, POS: 0.397, NEG: 0.023})"
darlys,darlys empresa aun desarrollo pudimos implementar estrategias crecimiento sintio presion trabajo mayor responsabilidad inicio dedicamos realizar formatos simples excel word posteriormente investigacion personal luche pusieran proyecto interno mismo queria actividades mas practicas respecto operaciones poder aprender inmersa dia dia empresa investigar,darlys es una empresa aun en desarrollo por lo que pudimos implementar estrategias de crecimiento pero no se sintio la presion de un trabajo de mayor responsabilidad en un inicio nos dedicamos a realizar formatos muy simples en excel y word posteriormente tuvimos una investigacion en lo personal yo luche mucho para que no me pusieran en proyecto interno por lo mismo que queria actividades mas practicas respecto a operaciones poder aprender de estar inmersa en el dia a dia de una empresa no investigar ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.522, POS: 0.459, NEG: 0.020})"
swarm data  people,experiencia swarm sido maravillosa,mi experiencia en swarm ha sido maravillosa,positive,"AnalyzerOutput(output=POS, probas={POS: 0.933, NEU: 0.059, NEG: 0.009})"
corporativo creatus,practicas aprendi desarrolle habilidades tenia,durante mis practicas aprendi mucho y desarrolle las habilidades que ya tenia,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, POS: 0.454, NEG: 0.047})"
fira barcelona,considero experiencia fira barcelona mexico buena aunque vio bastante limitada condiciones derivadas pandemia aprendi suficiente llevar cabo actividades requerian embargo siento pude llevarlo mas alla si desarrollado practicas modalidad presencial siempre disposicion buena comunicacion parte jefe inmediato constantemente mostraba interes darme retroalimentacion desempeno indicaciones requerimientos claros incluso actividades desempene relacionadas temas abordados directamente carrera puedo decir siempre apoyo pudiera llevarlas cabo conclusion gusto experiencia aprendizaje pudo ser mejor ambito muchas veces comunicacion facil concretar debido fallas tecnicas incluso horarios ajustaban ademas falto vivir ambiente organizacional aporta estudiando,considero que mi experiencia en fira barcelona mexico fue buena aunque se vio bastante limitada por las condiciones derivadas de la pandemia aprendi lo suficiente para llevar a cabo las actividades que se requerian sin embargo siento que pude llevarlo mucho mas alla si se hubieran desarrollado mis practicas en la modalidad presencial siempre hubo disposicion y buena comunicacion por parte de mi jefe inmediato quien constantemente mostraba el interes en darme retroalimentacion de mi desempeno y de que las indicaciones y requerimientos fueran claros incluso cuando las actividades que desempene estaban relacionadas con temas que no son abordados directamente en mi carrera puedo decir que siempre tuve el apoyo para que yo pudiera llevarlas a cabo en conclusion me gusto la experiencia de aprendizaje pero pudo ser mucho mejor en otro ambito muchas veces la comunicacion no fue facil de concretar debido a fallas tecnicas o incluso cuando los horarios no se ajustaban ademas me falto vivir el ambiente organizacional que tanto le aporta a uno cuando esta estudiando ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.763, POS: 0.168, NEG: 0.069})"
